Drug_ID,Target_ID,pair_id,Core5_Votes,Optional_Votes,Total_Votes_Optional7,Supporting_Models,graphdta_score,dtiam_score,drugban_score,deeppurpose_score,deepdtagan_score,moltrans_score,conplex_score,Drug_Name,Drug_Type,target_name,gene_name,uniprot_accession,organism,Predicted_Disease_TXGNN,Disease_Probability_TXGNN,Disease_Type_TXGNN
DB02010,BE0010025,DB02010|BE0010025,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5478,0.3096293807029724,0.99894315,7.4833,13.60923,0.9767761,0.8155197,Staurosporine,small molecule,Sphingosine kinase 2,SPHK2,Q9NRA0,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0004922,DB02010|BE0004922,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5391,0.1692363768815994,0.99724376,7.7832,13.63693,0.9869227,0.9376563,Staurosporine,small molecule,Cyclic nucleotide phosphodiesterase,PDE4A,P27815,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0004168,DB02010|BE0004168,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.6883,0.0938442647457122,0.9994547,7.6253,13.65039,0.8971437,0.6617195,Staurosporine,small molecule,Endoplasmic reticulum membrane sensor NFE2L1,NFE2L1,Q14494,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0001035,DB02010|BE0001035,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5631,0.2419097870588302,0.9999572,7.6054,13.56634,0.94280624,0.7609491,Staurosporine,small molecule,Protein-glutamine gamma-glutamyltransferase 2,TGM2,P21980,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0000742,DB02010|BE0000742,5,2,7,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.4862,0.4664191007614136,0.99989533,7.4621,13.64464,0.97137296,0.78850484,Staurosporine,small molecule,DNA topoisomerase 2-alpha,TOP2A,P11388,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB12526,BE0005865,DB12526|BE0005865,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7225,0.1218653544783592,0.9999018,7.7673,12.67853,0.08193098,0.74509376,Batefenterol,small molecule,Orexin receptor type 2,HCRTR2,O43614,Humans,insomnia (disease),0.989,Standard
DB12323,BE0004741,DB12323|BE0004741,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,13.096,0.0416158959269523,0.9969324,7.6687,12.79874,0.006160955,0.6295737,Radotinib,small molecule,Discoidin domain-containing receptor 2,DDR2,Q16832,Humans,"fibromatosis, gingival",0.9534,Standard
DB08916,BE0000511,DB08916|BE0000511,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans,12.5065,0.9833232164382936,0.9980507,7.5573,13.52458,0.5673118,,Afatinib,small molecule,Receptor tyrosine-protein kinase erbB-2,ERBB2,P04626,Humans,multiple endocrine neoplasia,0.9848,Standard
DB08519,BE0000147,DB08519|BE0000147,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5099,0.2997798025608063,0.9990096,8.5269,12.79905,0.00014218854,0.6742554,"N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine",small molecule,Receptor-type tyrosine-protein kinase FLT3,FLT3,P36888,Humans,thrombocytopenia,0.986,Standard
DB07183,BE0000029,DB07183|BE0000029,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5295,0.9695063233375548,0.99229115,7.5046,12.71064,8.406511e-05,0.5986854,N-(4-phenoxyphenyl)-2-[(pyridin-4-ylmethyl)amino]nicotinamide,small molecule,Vascular endothelial growth factor receptor 1,FLT1,P17948,Humans,osteogenesis imperfecta,0.5,Standard
DB06589,BE0000369,DB06589|BE0000369,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5169,0.2844326794147491,0.98138934,8.0753,13.22759,,0.9110403,Pazopanib,small molecule,Vascular endothelial growth factor receptor 2,KDR,P35968,Humans,clear cell renal carcinoma,0.9978,Standard
DB06469,BE0009524,DB06469|BE0009524,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,13.2553,0.7804176807403564,0.9999366,8.3005,14.01065,,0.79422176,Lestaurtinib,small molecule,Serine/threonine-protein kinase PLK4,PLK4,O00444,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0009480,DB06469|BE0009480,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.8664,0.8761451244354248,0.99524504,7.4381,13.62937,0.29826903,0.9710041,Lestaurtinib,small molecule,Serine/threonine-protein kinase MARK2,MARK2,Q7KZI7,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0009473,DB06469|BE0009473,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5292,0.0592397451400756,0.99286014,7.4613,13.81544,,0.8688314,Lestaurtinib,small molecule,Mitogen-activated protein kinase kinase kinase kinase 4,MAP4K4,O95819,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0009450,DB06469|BE0009450,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7147,0.2324911057949066,0.9812732,7.826,13.68785,,0.9774593,Lestaurtinib,small molecule,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,IKBKE,Q14164,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0004655,DB06469|BE0004655,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7552,0.3807047605514526,0.9994461,7.7868,13.6763,,0.9599135,Lestaurtinib,small molecule,Inhibitor of nuclear factor kappa-B kinase subunit alpha,CHUK,O15111,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0004076,DB06469|BE0004076,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.8076,0.8888566493988037,0.99151623,7.3834,13.68471,0.11879894,0.93460786,Lestaurtinib,small molecule,Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK2A,Q9UQM7,Humans,multiple endocrine neoplasia,0.9812,Standard
DB05424,BE0004772,DB05424|BE0004772,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5909,0.920316219329834,0.99518234,7.7718,13.10444,0.041462474,0.57992417,Canertinib,small molecule,Receptor tyrosine-protein kinase erbB-4,ERBB4,Q15303,Humans,filariasis,0.9634,Standard
DB04869,BE0005865,DB04869|BE0005865,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7124,0.1941613405942917,0.98821056,9.3104,12.78948,,0.85277617,Olcegepant,small molecule,Orexin receptor type 2,HCRTR2,O43614,Humans,esotropia,0.9837,Standard
DB04868,BE0004741,DB04868|BE0004741,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.949,0.3769682049751282,0.9894924,7.6751,12.76644,,0.62712646,Nilotinib,,Discoidin domain-containing receptor 2,DDR2,Q16832,Humans,dermatofibrosarcoma protuberans,0.9931,Standard
DB02152,BE0009524,DB02152|BE0009524,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,13.0626,0.9230998754501344,0.99985015,8.1855,13.68578,,0.69523764,K-252a,small molecule,Serine/threonine-protein kinase PLK4,PLK4,O00444,Humans,acute lymphoblastic leukemia (disease),0.9717,Standard
DB02152,BE0009480,DB02152|BE0009480,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7012,0.865220844745636,0.9974923,7.4403,13.42415,0.025776414,0.8922773,K-252a,small molecule,Serine/threonine-protein kinase MARK2,MARK2,Q7KZI7,Humans,acute lymphoblastic leukemia (disease),0.9717,Standard
DB02152,BE0009450,DB02152|BE0009450,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.4743,0.1009565219283104,0.97039795,7.7066,13.04902,,0.88041407,K-252a,small molecule,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,IKBKE,Q14164,Humans,acute lymphoblastic leukemia (disease),0.9717,Standard
DB02152,BE0004655,DB02152|BE0004655,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5582,0.8403648138046265,0.9992398,7.6392,13.10277,,0.9201209,K-252a,small molecule,Inhibitor of nuclear factor kappa-B kinase subunit alpha,CHUK,O15111,Humans,acute lymphoblastic leukemia (disease),0.9717,Standard
DB02152,BE0004076,DB02152|BE0004076,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.6407,0.9011714458465576,0.9881392,7.5021,13.02519,8.488596e-05,0.8864136,K-252a,small molecule,Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK2A,Q9UQM7,Humans,acute lymphoblastic leukemia (disease),0.9717,Standard
DB02010,BE0011004,DB02010|BE0011004,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5391,0.1692363768815994,0.99724376,7.7832,13.63693,,0.9376563,Staurosporine,small molecule,Phosphodiesterase 4,PDE4A,P27815,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0010091,DB02010|BE0010091,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.4958,0.7413104772567749,0.9997278,7.4611,13.57793,,0.9383406,Staurosporine,small molecule,Lysine-specific histone demethylase 1A,KDM1A,O60341,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009972,DB02010|BE0009972,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7599,0.4342976212501526,0.9968669,7.7438,13.70762,,0.7391446,Staurosporine,small molecule,Plasma membrane calcium-transporting ATPase,ATP2B1,P20020,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009963,DB02010|BE0009963,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5391,0.1692363768815994,0.99724376,7.7832,13.63693,,0.9376563,Staurosporine,small molecule,"cAMP-specific 3',5'-cyclic phosphodiesterase 4 (PDE4)",PDE4A,P27815,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009482,DB02010|BE0009482,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.6192,0.2051372528076172,0.9976809,8.1798,14.34154,,0.87629724,Staurosporine,small molecule,MAP/microtubule affinity-regulating kinase 4,MARK4,Q96L34,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009480,DB02010|BE0009480,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7139,0.2138067483901977,0.998552,8.7719,13.79472,,0.9350871,Staurosporine,small molecule,Serine/threonine-protein kinase MARK2,MARK2,Q7KZI7,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009470,DB02010|BE0009470,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.6627,0.0363201797008514,0.9887256,8.3248,13.55403,,0.8145584,Staurosporine,small molecule,Mitogen-activated protein kinase kinase kinase kinase 1,MAP4K1,Q92918,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009457,DB02010|BE0009457,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans,12.6631,0.0603760927915573,0.99739826,8.4754,14.43906,0.9801,,Staurosporine,small molecule,Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009412,DB02010|BE0009412,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,13.0201,0.2766225039958954,0.99999225,8.2564,13.59455,,0.81750476,Staurosporine,small molecule,Tyrosine-protein kinase receptor UFO,AXL,P30530,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009020,DB02010|BE0009020,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.6593,0.8660470843315125,0.999871,7.451,13.60573,,0.76387674,Staurosporine,small molecule,Splicing factor 3B subunit 3,SF3B3,Q15393,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0008966,DB02010|BE0008966,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans,12.6899,0.8459901809692383,0.99762064,7.4891,13.65295,0.97589093,,Staurosporine,small molecule,Splicing factor 3A subunit 2,SF3A2,Q15428,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0004951,DB02010|BE0004951,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.4862,0.4664191007614136,0.99989533,7.4621,13.64464,,0.78850484,Staurosporine,small molecule,DNA topoisomerase 2,TOP2A,P11388,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0004612,DB02010|BE0004612,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans,12.7465,0.0824353769421577,0.99994504,7.6067,13.6105,0.9639747,,Staurosporine,small molecule,Immunoglobulin superfamily member 10,IGSF10,Q6WRI0,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0003699,DB02010|BE0003699,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.8231,0.8869156837463379,0.99976915,7.8257,13.55692,,0.8075278,Staurosporine,small molecule,Matrix metalloproteinase-24,MMP24,Q9Y5R2,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0003646,DB02010|BE0003646,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans,12.6373,0.0878898873925209,0.99559456,8.1091,13.63536,0.928461,,Staurosporine,small molecule,Solute carrier family 22 member 7,SLC22A7,Q9Y694,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0001637,DB02010|BE0001637,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.4704,0.6895483732223511,0.999964,7.8552,13.61389,,0.71857506,Staurosporine,small molecule,Matrix metalloproteinase-16,MMP16,P51512,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0001133,DB02010|BE0001133,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5391,0.1692363768815994,0.99724376,7.7832,13.63693,,0.9376563,Staurosporine,small molecule,"3',5'-cyclic-AMP phosphodiesterase 4A",PDE4A,P27815,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0001039,DB02010|BE0001039,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.9122,0.0379574000835418,0.9927989,8.3174,13.45635,,0.807239,Staurosporine,small molecule,High affinity nerve growth factor receptor,NTRK1,P04629,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0000888,DB02010|BE0000888,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans,12.6113,0.2329500466585159,0.9973991,7.5112,13.56834,0.9565158,,Staurosporine,small molecule,Acyl-CoA (8-3)-desaturase,FADS1,O60427,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0000793,DB02010|BE0000793,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.6345,0.6256900429725647,0.97428834,7.3887,13.59693,,0.7357979,Staurosporine,small molecule,Granulocyte colony-stimulating factor receptor,CSF3R,Q99062,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0000574,DB02010|BE0000574,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.5458,0.678779125213623,0.9965372,7.721,13.60276,,0.74004596,Staurosporine,small molecule,3-hydroxy-3-methylglutaryl-coenzyme A reductase,HMGCR,P04035,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0000139,DB02010|BE0000139,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.6165,0.4081049859523773,0.99971634,7.6407,13.64813,,0.7777982,Staurosporine,small molecule,Mitochondrial inner membrane m-AAA protease component AFG3L2,AFG3L2,Q9Y4W6,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0000023,DB02010|BE0000023,5,1,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;DeepDTAGen;Conplex,12.7487,0.0751918256282806,0.9999589,7.5227,13.92193,,0.699994,Staurosporine,small molecule,Vascular endothelial growth factor receptor 3,FLT4,P35916,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB12669,BE0000029,DB12669|BE0000029,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,13.4032,0.9768741726875304,0.995764,5.3202,12.85964,0.9275222,0.64338785,4SC-203,small molecule,Vascular endothelial growth factor receptor 1,FLT1,P17948,Humans,congenital analbuminemia,0.978,Cold-Start
DB06718,BE0000668,DB06718|BE0000668,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepPurpose;MolTrans;Conplex,12.8067,0.2246101945638656,0.9748395,7.5656,11.04476,0.59454876,0.5269568,Stanozolol,small molecule,Mineralocorticoid receptor,NR3C2,P08235,Humans,hereditary angioedema with C1Inh deficiency,1.0,Standard
DB06616,BE0000841,DB06616|BE0000841,4,2,6,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.7183,0.9998040199279784,0.06996746,7.4886,13.17734,0.9284782,0.8254985,Bosutinib,,Ephrin type-A receptor 2,EPHA2,P29317,Humans,myeloid leukemia,0.9875,Standard
DB06589,BE0000023,DB06589|BE0000023,4,2,6,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.6029,0.3613181412220001,0.55025357,7.5892,13.13062,0.97447455,0.5282718,Pazopanib,small molecule,Vascular endothelial growth factor receptor 3,FLT4,P35916,Humans,clear cell renal carcinoma,0.9978,Standard
DB06469,BE0021269,DB06469|BE0021269,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.9176,0.6117807626724243,0.9742519,6.941,13.69257,0.6890082,0.7742518,Lestaurtinib,small molecule,1-phosphatidylinositol 3-phosphate 5-kinase,PIKFYVE,Q9Y2I7,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0010064,DB06469|BE0010064,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.4636,0.7804449796676636,0.99850154,6.5265,13.70069,0.46645597,0.9431484,Lestaurtinib,small molecule,Guanylate cyclase,GUCY1A1,Q02108,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0009849,DB06469|BE0009849,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.4887,0.748533308506012,0.98968023,7.156,13.70785,0.48465118,0.60376674,Lestaurtinib,small molecule,Histone-lysine N-methyltransferase EZH1,EZH1,Q92800,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0009497,DB06469|BE0009497,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.5761,0.1622526347637176,0.97252053,4.826,13.70997,0.5074748,0.8025467,Lestaurtinib,small molecule,Serine/threonine-protein kinase Nek3,NEK3,P51956,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0009433,DB06469|BE0009433,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.5247,0.904774844646454,0.99738556,4.7796,13.69905,0.64513487,0.9141623,Lestaurtinib,small molecule,Eukaryotic translation initiation factor 2-alpha kinase 1,EIF2AK1,Q9BQI3,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0009430,DB06469|BE0009430,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.4941,0.1870557218790054,0.9833466,5.4475,13.7051,0.46312976,0.84762955,Lestaurtinib,small molecule,Serine/threonine-protein kinase DCLK2,DCLK2,Q8N568,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0004053,DB06469|BE0004053,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.8436,0.2046960890293121,0.9726849,6.9368,13.68879,0.80292356,0.7563356,Lestaurtinib,small molecule,Elongation factor-like GTPase 1,EFL1,Q7Z2Z2,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0002501,DB06469|BE0002501,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.7501,0.8466959595680237,0.9834251,6.8177,13.69705,0.69423497,0.7560816,Lestaurtinib,small molecule,Probable ATP-dependent RNA helicase DDX6,DDX6,P26196,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0002434,DB06469|BE0002434,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.7681,0.2510332763195038,0.9889787,6.7294,13.6816,0.5895738,0.98401916,Lestaurtinib,small molecule,Ecto-NOX disulfide-thiol exchanger 2,ENOX2,Q16206,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0002198,DB06469|BE0002198,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.7789,0.181471586227417,0.99499536,6.7154,13.68716,0.89660203,0.6882501,Lestaurtinib,small molecule,Amine oxidase [flavin-containing] A,MAOA,P21397,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0000898,DB06469|BE0000898,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.8271,0.1350036412477493,0.9904293,6.6496,13.71974,0.7124247,0.72172976,Lestaurtinib,small molecule,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",ALAS2,P22557,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0000677,DB06469|BE0000677,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.8285,0.945068359375,0.9667454,7.3202,14.02856,0.720083,0.98427856,Lestaurtinib,small molecule,5'-AMP-activated protein kinase catalytic subunit alpha-1,PRKAA1,Q13131,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0000618,DB06469|BE0000618,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.929,0.5461576581001282,0.9999403,6.0871,13.68964,0.4702397,0.5119933,Lestaurtinib,small molecule,"Glycine dehydrogenase (decarboxylating), mitochondrial",GLDC,P23378,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0000166,DB06469|BE0000166,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.4699,0.3629553914070129,0.9999883,6.2799,13.70268,0.45515457,0.6710388,Lestaurtinib,small molecule,Glutamate--cysteine ligase catalytic subunit,GCLC,P48506,Humans,multiple endocrine neoplasia,0.9812,Standard
DB06469,BE0000140,DB06469|BE0000140,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.5751,0.2686901986598968,0.98826516,6.5728,13.6809,0.5430071,0.56100434,Lestaurtinib,small molecule,Solute carrier family 12 member 6,SLC12A6,Q9UHW9,Humans,multiple endocrine neoplasia,0.9812,Standard
DB04869,BE0003561,DB04869|BE0003561,4,2,6,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5738,0.0079963263124227,0.99652916,9.3646,12.77801,0.41977784,0.7516707,Olcegepant,small molecule,Prostaglandin D2 receptor 2,PTGDR2,Q9Y5Y4,Humans,esotropia,0.9837,Standard
DB04869,BE0003522,DB04869|BE0003522,4,2,6,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.6326,0.0539017170667648,0.37293467,9.0008,12.79473,0.50114566,0.70026064,Olcegepant,small molecule,Prostaglandin E2 receptor EP4 subtype,PTGER4,P35408,Humans,esotropia,0.9837,Standard
DB02010,BE0010029,DB02010|BE0010029,4,2,6,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5202,0.005000511649996,0.9992499,7.4811,13.65278,0.9854321,0.7579713,Staurosporine,small molecule,Guanylate cyclase soluble subunit beta-1,GUCY1B1,Q02153,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009554,DB02010|BE0009554,4,2,6,GraphDTA;DTIAM;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5653,0.1622648686170578,0.9480847,7.3834,13.59827,0.9375247,0.8708811,Staurosporine,small molecule,Nuclear factor NF-kappa-B complex,NFKB2,Q00653,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009541,DB02010|BE0009541,4,2,6,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.682,0.0046033519320189,0.98639524,9.0259,13.56982,0.92407674,0.89969873,Staurosporine,small molecule,Serine/threonine-protein kinase 10,STK10,O94804,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009533,DB02010|BE0009533,4,2,6,GraphDTA;DTIAM;DrugBAN;DeepDTAGen;MolTrans;Conplex,12.542,0.0714110881090164,0.9999348,7.3388,13.60283,0.97884685,0.93873,Staurosporine,small molecule,Receptor-interacting serine/threonine-protein kinase 4,RIPK4,P57078,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009524,DB02010|BE0009524,4,2,6,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,13.0246,0.0045526474714279,0.9999926,8.6434,13.98483,0.9548262,0.7286412,Staurosporine,small molecule,Serine/threonine-protein kinase PLK4,PLK4,O00444,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009509,DB02010|BE0009509,4,2,6,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.695,0.0036154247354716,0.9987398,8.5297,13.69984,0.99501073,0.88345397,Staurosporine,small molecule,Serine/threonine-protein kinase PAK 6,PAK6,Q9NQU5,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
DB02010,BE0009507,DB02010|BE0009507,4,2,6,GraphDTA;DrugBAN;DeepPurpose;DeepDTAGen;MolTrans;Conplex,12.5358,0.0049816356040537,0.96981144,8.0419,13.56888,0.97785234,0.95642686,Staurosporine,small molecule,Serine/threonine-protein kinase PAK 3,PAK3,O75914,Humans,acute lymphoblastic leukemia (disease),0.9946,Standard
